LINK_ID,F_NODE,T_NODE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,ROAD_USE,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,LENGTH,REMARK,L1,L2,L3,L4,L5,L6,L7,L8,L9,CHK,구역,비고
3880739100,3880272400,3880272800,1,107,000,-,오봉8길,0,0,000,50,0,0,0,768.941600000000,,3880738600,3880738900,,,,,,,,1,2구역,
3880739200,3880273000,3880272900,1,107,000,-,오봉로,0,0,000,30,0,0,0,251.041400000000,,3880826600,3880738800,,,,,,,,1,2구역,
3880739300,3880272900,3880273000,1,107,000,-,오봉로,0,0,000,30,0,0,0,232.738500000000,,3880740500,3880736400,,,,,,,,1,2구역,
3880746500,3880275700,3880276100,1,107,000,-,가촌서로,0,0,000,30,0,0,0,76.156200000000,,3880746400,,,,,,,,,2,2구역,
3880739400,3880273100,3880272000,1,107,000,-,목화로,0,0,000,50,0,0,0,326.452800000000,,3880737100,3880826400,,,,,,,,1,2구역,
3880739500,3880272000,3880273100,1,107,000,-,목화로,0,0,000,50,0,0,0,326.418700000000,,3880744500,3880739700,,,,,,,,1,2구역,
3880739600,3880273200,3880273100,1,107,000,-,목화로,0,0,000,50,0,0,0,32.312200000000,,3880739400,3880744500,,,,,,,,1,2구역,
3880739700,3880273100,3880273200,1,107,000,-,목화로,0,0,000,50,0,0,0,32.312200000000,,3880739900,3880740600,,,,,,,,1,2구역,
3880739800,3880273300,3880273200,1,107,000,-,목화로,0,0,000,50,0,0,0,136.244500000000,,3880740600,3880739600,,,,,,,,1,2구역,
3880739900,3880273200,3880273300,1,107,000,-,목화로,0,0,000,50,0,0,0,136.380900000000,,3880741900,3880740100,3880740800,,,,,,,1,2구역,
3880740000,3880273400,3880273300,1,107,000,-,목화로,0,0,000,50,0,0,0,157.084100000000,,3880740800,3880739800,3880741900,,,,,,,1,2구역,
3880740100,3880273300,3880273400,1,107,000,-,목화로,0,0,000,50,0,0,0,156.267800000000,,3880742500,3880740300,3880741000,,,,,,,1,2구역,
3880740200,3880273500,3880273400,1,107,000,-,목화로,0,0,000,30,0,0,0,217.574400000000,,3880741000,3880740000,3880742500,,,,,,,1,2구역,
3880740300,3880273400,3880273500,1,107,000,-,목화로,0,0,000,30,0,0,0,217.608800000000,,3880741300,3880740400,,,,,,,,1,2구역,
3880740400,3880273500,3880273000,1,107,000,-,목화로,0,0,000,30,0,0,0,199.050300000000,,3880736400,3880739200,,,,,,,,1,2구역,
3880740500,3880273000,3880273500,1,107,000,-,목화로,0,0,000,30,0,0,0,199.751800000000,,3880740200,3880741300,,,,,,,,1,2구역,
3880740600,3880273200,3880272500,1,107,000,-,목화4길,0,0,000,50,0,0,0,152.238000000000,,3880738300,3880737800,,,,,,,,1,2구역,
3880740700,3880272500,3880273200,1,107,000,-,목화4길,0,0,000,50,0,0,0,152.670000000000,,3880739600,3880739900,,,,,,,,1,2구역,
3880740800,3880273300,3880272600,1,107,000,-,목화5길,0,0,000,50,0,0,0,150.176100000000,,3880738500,3880738200,,,,,,,,1,2구역,
3880740900,3880272600,3880273300,1,107,000,-,목화5길,0,0,000,50,0,0,0,150.180700000000,,3880739800,3880741900,3880740100,,,,,,,1,2구역,
3880741000,3880273400,3880272700,1,107,000,-,목화7길,0,0,000,50,0,0,0,154.057000000000,,3880738700,3880738400,,,,,,,,1,2구역,
3880741100,3880272700,3880273400,1,107,000,-,목화7길,0,0,000,50,0,0,0,153.425400000000,,3880740000,3880742500,3880740300,,,,,,,1,2구역,
3880741200,3880273600,3880273500,1,107,000,-,동중7길,0,0,000,30,0,0,0,71.633500000000,,3880740400,3880740200,,,,,,,,1,2구역,
3880741300,3880273500,3880273600,1,107,000,-,동중7길,0,0,000,30,0,0,0,71.899200000000,,3880743100,3880741500,3880741700,,,,,,,1,2구역,
3880741400,3880273700,3880273600,1,107,000,-,동중7길,0,0,000,30,0,0,0,205.329600000000,,3880741700,3880741200,3880743100,,,,,,,1,2구역,
3880741500,3880273600,3880273700,1,107,000,-,동중7길,0,0,000,30,0,0,0,203.191900000000,,3880744300,3880736600,,,,,,,,1,2구역,
3880741600,3880273800,3880273600,1,107,000,-,동중3길,0,0,000,30,0,0,0,59.825400000000,,3880741200,3880743100,3880741500,,,,,,,1,2구역,
3880741700,3880273600,3880273800,1,107,000,-,동중3길,0,0,000,30,0,0,0,59.825400000000,,3880741600,,,,,,,,,2,2구역,
3880741800,3880273900,3880273300,1,107,000,-,동중1길,0,0,000,50,0,0,0,60.487300000000,,3880740100,3880740800,3880739800,,,,,,,1,2구역,
3880741900,3880273300,3880273900,1,107,000,-,동중1길,0,0,000,50,0,0,0,60.487300000000,,3880742100,3880742900,,,,,,,,1,2구역,
3880742000,3880274000,3880273900,1,107,000,-,동중1길,0,0,000,50,0,0,0,143.077300000000,,3880742900,3880741800,,,,,,,,1,2구역,
3880742100,3880273900,3880274000,1,107,000,-,동중1길,0,0,000,50,0,0,0,143.143200000000,,3880742300,3880827100,,,,,,,,1,2구역,
3880742200,3880274100,3880274000,1,107,000,-,동중1길,0,0,000,50,0,0,0,144.464300000000,,3880827100,3880742000,,,,,,,,1,2구역,
3880742300,3880274000,3880274100,1,107,000,-,동중1길,0,0,000,50,0,0,0,144.309200000000,,3880738000,3880826900,,,,,,,,1,2구역,
3880742400,3880274200,3880273400,1,107,000,-,동중5길,0,0,000,50,0,0,0,71.812600000000,,3880740300,3880741000,3880740000,,,,,,,1,2구역,
3880742500,3880273400,3880274200,1,107,000,-,동중5길,0,0,000,50,0,0,0,71.812600000000,,3880742700,3880743300,3880743000,,,,,,,1,2구역,
3880742600,3880274400,3880274200,1,107,000,-,동중3길,0,0,000,50,0,0,0,102.190900000000,,3880743300,3880743000,3880742400,,,,,,,1,2구역,
3880742700,3880274200,3880274400,1,107,000,-,동중3길,0,0,000,50,0,0,0,102.802800000000,,3880742800,3880743500,,,,,,,,1,2구역,
3880744000,3880274700,3880274600,1,107,000,-,동중6길,0,0,000,10,0,0,0,107.257400000000,,3880743800,3880744200,,,,,,,,1,2구역,
3880744100,3880274600,3880274700,1,107,000,-,동중6길,0,0,000,10,0,0,0,104.549900000000,,3880744000,,,,,,,,,2,2구역,
3880744200,3880274600,3880273700,1,107,000,-,동중6길,0,0,000,10,0,0,0,147.483100000000,,3880736600,3880741400,,,,,,,,1,2구역,
3880744300,3880273700,3880274600,1,107,000,-,동중6길,0,0,000,10,0,0,0,130.877000000000,,3880744100,3880743800,,,,,,,,1,2구역,
3880744400,3880274800,3880273100,1,107,000,-,서남5길,0,0,000,30,0,0,0,176.192100000000,,3880739700,3880739400,,,,,,,,1,2구역,
3880744500,3880273100,3880274800,1,107,000,-,서남5길,0,0,000,30,0,0,0,176.496100000000,,3880744900,3880744700,,,,,,,,1,2구역,
3880744600,3880274900,3880274800,1,107,000,-,서남5길,0,0,000,30,0,0,0,178.283000000000,,3880744400,3880744900,,,,,,,,1,2구역,
3880744700,3880274800,3880274900,1,107,000,-,서남5길,0,0,000,30,0,0,0,178.393100000000,,3880744600,,,,,,,,,2,2구역,
3880744800,3880275000,3880274800,1,107,000,-,서남1길,0,0,000,60,0,0,0,161.529500000000,,3880744700,3880744400,,,,,,,,1,2구역,
3880744900,3880274800,3880275000,1,107,000,-,서남1길,0,0,000,60,0,0,0,161.529500000000,,3880745300,3880745100,3880745500,,,,,,,1,2구역,
3880745000,3880275100,3880275000,1,107,000,-,서남1길,0,0,000,60,0,0,0,116.845900000000,,3880745500,3880744800,3880745300,,,,,,,1,2구역,
3880745100,3880275000,3880275100,1,107,000,-,서남1길,0,0,000,60,0,0,0,117.278800000000,,3880745000,,,,,,,,,2,2구역,
3880745200,3880275200,3880275000,1,107,000,-,서남3길,0,0,000,30,0,0,0,41.704400000000,,3880745100,3880745500,3880744800,,,,,,,1,2구역,
3880745300,3880275000,3880275200,1,107,000,-,서남3길,0,0,000,30,0,0,0,41.704400000000,,3880745200,,,,,,,,,2,2구역,
3880745400,3880275300,3880275000,1,107,000,-,서남3길,0,0,000,30,0,0,0,171.454700000000,,3880744800,3880745300,3880745100,,,,,,,1,2구역,
3880745500,3880275000,3880275300,1,107,000,-,서남3길,0,0,000,30,0,0,0,171.117600000000,,3880745400,,,,,,,,,2,2구역,
3880745600,3880275700,3880275600,1,107,000,-,가촌서로,0,0,000,40,0,0,0,315.712300000000,,3880745900,3880827400,,,,,,,,1,2구역,
3880745700,3880275600,3880275700,1,107,000,-,가촌서로,0,0,000,40,0,0,0,319.441000000000,,3880746500,3880746300,,,,,,,,1,2구역,
3880745800,3880276000,3880275600,1,107,000,-,가촌서2길,0,0,000,30,0,0,0,64.275900000000,,3880827400,3880745700,,,,,,,,1,2구역,
3880745900,3880275600,3880276000,1,107,000,-,가촌서2길,0,0,000,30,0,0,0,64.197900000000,,3880745800,,,,,,,,,2,2구역,
3880746000,3880275500,3880275400,2,107,000,-,가촌서로,0,0,000,60,0,0,0,142.827400000000,,3880827200,,,,,,,,,1,2구역,
3880746100,3880275400,3880275500,2,107,000,-,가촌서로,0,0,000,60,0,0,0,142.827500000000,,3880827700,3880827500,,,,,,,,1,2구역,
3880746200,3880275800,3880275700,1,107,000,-,가촌서로,0,0,000,40,0,0,0,137.752100000000,,3880745600,3880746500,,,,,,,,1,2구역,
3880746300,3880275700,3880275800,1,107,000,-,가촌서로,0,0,000,40,0,0,0,137.752100000000,,3880845701,3880851601,,,,,,,,1,2구역,
3880746400,3880276100,3880275700,1,107,000,-,가촌서로,0,0,000,30,0,0,0,76.156200000000,,,,,,,,,,,0,2구역,
3880746600,3880276600,3880046201,2,107,000,-,범구로,0,0,000,40,0,0,0,167.497500000000,,,,,,,,,,,0,2구역,
3880746700,3880046201,3880276600,2,107,000,-,범구로,0,0,000,40,0,0,0,167.699200000000,,,,,,,,,,,0,2구역,
3880746800,3880276400,3880276300,1,107,000,-,범구7길,0,0,000,60,0,0,0,131.766000000000,,,,,,,,,,,0,2구역,
3880746900,3880276300,3880276400,1,107,000,-,범구7길,0,0,000,60,0,0,0,131.902900000000,,,,,,,,,,,0,2구역,
3880747000,3880276400,3880045902,2,107,000,-,범구6길,0,0,000,60,0,0,0,173.500700000000,,,,,,,,,,,0,2구역,
3880747100,3880045902,3880276400,2,107,000,-,범구6길,0,0,000,60,0,0,0,173.500700000000,,,,,,,,,,,0,2구역,
3880747200,3880276500,3880276400,2,107,000,-,범구6길,0,0,000,60,0,0,0,122.879000000000,,,,,,,,,,,0,2구역,
3880747300,3880276400,3880276500,2,107,000,-,범구6길,0,0,000,60,0,0,0,130.439100000000,,,,,,,,,,,0,2구역,
3880747400,3880276600,3880276500,2,107,000,-,범구로,0,0,000,40,0,0,0,103.304800000000,,,,,,,,,,,0,2구역,
3880747500,3880276500,3880276600,2,107,000,-,범구로,0,0,000,40,0,0,0,96.705100000000,,,,,,,,,,,0,2구역,
3880747600,3880046501,3880046201,2,107,000,-,범구로,0,0,000,40,0,0,0,373.139200000000,,,,,,,,,,,0,2구역,
3880747700,3880046201,3880046501,2,107,000,-,범구로,0,0,000,40,0,0,0,373.217300000000,,,,,,,,,,,0,2구역,
3880747800,3880277300,3880047102,1,107,000,-,범어로,0,0,000,60,0,0,0,31.751500000000,,,,,,,,,,,0,2구역,
3880747900,3880047102,3880277300,1,107,000,-,범어로,0,0,000,60,0,0,0,31.751500000000,,,,,,,,,,,0,2구역,
3880748000,3880277500,3880047101,1,107,000,-,화합길,0,0,000,60,0,0,0,32.102700000000,,,,,,,,,,,0,2구역,
3880748100,3880047101,3880277500,1,107,000,-,화합길,0,0,000,60,0,0,0,32.102700000000,,,,,,,,,,,0,2구역,
3880748200,3880279300,3880046502,1,107,000,-,화합6길,0,0,000,60,0,0,0,55.739800000000,,,,,,,,,,,0,2구역,
3880748300,3880046502,3880279300,1,107,000,-,화합6길,0,0,000,60,0,0,0,55.739800000000,,,,,,,,,,,0,2구역,
3880748400,3880276700,3880046503,1,107,000,-,화합길,0,0,000,60,0,0,0,44.960900000000,,,,,,,,,,,0,2구역,
3880748500,3880046503,3880276700,1,107,000,-,화합길,0,0,000,60,0,0,0,44.960900000000,,,,,,,,,,,0,2구역,
3880748600,3880276800,3880276700,1,107,000,-,화합1길,0,0,000,60,0,0,0,88.440200000000,,,,,,,,,,,0,2구역,
3880748700,3880276700,3880276800,1,107,000,-,화합1길,0,0,000,60,0,0,0,88.440200000000,,,,,,,,,,,0,2구역,
3880748800,3880276800,3880276200,1,107,000,-,화합1길,0,0,000,60,0,0,0,87.765200000000,,,,,,,,,,,0,2구역,
3880748900,3880276200,3880276800,1,107,000,-,화합1길,0,0,000,60,0,0,0,87.765200000000,,,,,,,,,,,0,2구역,
3880749000,3880276900,3880276200,1,107,000,-,화합1길,0,0,000,60,0,0,0,42.002000000000,,,,,,,,,,,0,2구역,
3880749100,3880276200,3880276900,1,107,000,-,화합1길,0,0,000,60,0,0,0,42.001800000000,,,,,,,,,,,0,2구역,
3880749200,3880277000,3880276900,1,107,000,-,화합1길,0,0,000,60,0,0,0,108.495200000000,,,,,,,,,,,0,2구역,
3880749300,3880276900,3880277000,1,107,000,-,화합1길,0,0,000,60,0,0,0,108.495200000000,,,,,,,,,,,0,2구역,
3880749400,3880277100,3880276700,1,107,000,-,화합2길,0,0,000,60,0,0,0,100.734600000000,,,,,,,,,,,0,2구역,
3880749500,3880276700,3880277100,1,107,000,-,화합2길,0,0,000,60,0,0,0,100.734700000000,,,,,,,,,,,0,2구역,
3880749600,3880277100,3880046504,1,107,000,-,-,0,0,000,60,0,0,0,44.460100000000,도로명없음,,,,,,,,,,0,2구역,
3880749700,3880046504,3880277100,1,107,000,-,-,0,0,000,60,0,0,0,44.460200000000,도로명없음,,,,,,,,,,0,2구역,
3880749800,3880277200,3880277100,1,107,000,-,화합2길,0,0,000,60,0,0,0,145.609500000000,,,,,,,,,,,0,2구역,
3880749900,3880277100,3880277200,1,107,000,-,화합2길,0,0,000,60,0,0,0,169.947000000000,,,,,,,,,,,0,2구역,
3880750000,3880277400,3880277300,1,107,000,-,화합11길,0,0,000,60,0,0,0,159.274800000000,,,,,,,,,,,0,2구역,
