NODE_ID,TURN_ID,ST_LINK,ED_LINK,TURN_TYPE,TURN_OPER,REMARK,¾ç»ê½Ã
3880050503,2,3880110203,3880822500,101,0,,1
3880050700,1,3880109900,3880109800,101,0,,1
3880051703,1,3880704400,3880110906,101,0,,1
3880051704,1,3880820000,3880110808,101,0,,1
3880051704,2,3880110807,3880820100,101,0,,1
3880051705,1,3880111801,3880705900,101,0,,1
3880051705,2,3880705800,3880111802,101,0,,1
3880052001,1,3880819400,3880140802,101,0,,1
3880052001,2,3880140801,3880819500,101,0,,1
3880052701,1,3880124201,3880675800,101,0,,1
3880052702,1,3880814800,3880124402,101,0,,1
3880052702,2,3880124401,3880814900,101,0,,1
3880053101,1,3880812400,3880672500,102,0,,1
3880053101,2,3880812400,3880126003,101,0,,1
3880053101,3,3880126001,3880812500,101,0,,1
3880053101,4,3880672400,3880125902,101,0,,1
3880053101,5,3880672400,3880812500,102,0,,1
3880053105,1,3880126003,3880671100,101,0,,1
3880053105,2,3880671000,3880126005,101,0,,1
3880053201,1,3880124604,3880669500,101,0,,1
3880053700,1,3880113500,3880608300,101,0,,1
3880053803,1,3880812800,3880668100,102,0,,1
3880053803,2,3880812800,3880133402,101,0,,1
3880053803,3,3880668000,3880133302,101,0,,1
3880053803,4,3880668000,3880812900,102,0,,1
3880053900,1,3880126304,3880134901,101,0,,1
3880053903,1,3880126403,3880668300,101,0,,1
3880053903,2,3880668200,3880126404,101,0,,1
3880054001,1,3880133901,3880671300,101,0,,1
3880054001,2,3880671200,3880133902,101,0,,1
3880054803,1,3880145205,3880599300,103,0,,1
3880055101,1,3880131104,3880639300,101,0,,1
3880055101,2,3880639200,3880131102,101,0,,1
3880055104,1,3880809200,3880155102,101,0,,1
3880055104,2,3880155104,3880809300,101,0,,1
3880055105,1,3880155103,3880641100,101,0,,1
3880055105,2,3880641000,3880155104,101,0,,1
3880055301,1,3880807400,3880150303,101,0,,1
3880055301,2,3880150301,3880807500,101,0,,1
3880056201,1,3880149904,3880631700,101,0,,1
3880056201,2,3880631600,3880149902,101,0,,1
3880056202,1,3880149803,3880631500,101,0,,1
3880056202,2,3880631400,3880149805,101,0,,1
3880056203,1,3880631800,3880149906,101,0,,1
3880056902,1,3880030405,3880570100,101,0,,1
3880056902,2,3880570000,3880030406,101,0,,1
3880057000,2,3880141800,3880141900,103,0,,1
3880057000,3,3880142000,3880141600,103,0,,1
3880057005,1,3880794800,3880141410,101,0,,1
3880057005,2,3880141409,3880794900,101,0,,1
3880057101,1,3880552600,3880156902,101,0,,1
3880057101,2,3880156904,3880552700,101,0,,1
3880057106,1,3880553800,3880156608,101,0,,1
3880057301,1,3880794200,3880142702,101,0,,1
3880057301,2,3880142704,3880794300,101,0,,1
3880057302,1,3880142706,3880560500,101,0,,1
3880057302,2,3880560400,3880142704,101,0,,1
3880057303,1,3880142705,3880560700,101,0,,1
3880057303,2,3880560600,3880142706,101,0,,1
3880146100,1,3880367000,3880366900,101,0,,1
3880156201,1,3880830200,3880397302,101,0,,1
3880156201,2,3880397301,3880830300,101,0,,1
