NODE_ID,TURN_ID,ST_LINK,ED_LINK,TURN_TYPE,TURN_OPER,REMARK,¾ç»ê½Ã
3880055502,1,3880156103,3880638900,101,0,,1
3880055502,2,3880156203,3880638300,101,0,,1
3880055502,3,3880638200,3880638900,102,0,,1
3880055502,4,3880638200,3880156204,101,0,,1
3880055502,5,3880638800,3880638300,102,0,,1
3880055502,6,3880638800,3880156104,101,0,,1
3880055503,1,3880807600,3880807300,102,0,,1
3880055503,2,3880807600,3880155902,101,0,,1
3880055503,3,3880155901,3880807700,101,0,,1
3880055503,4,3880156001,3880807300,101,0,,1
3880055702,1,3880150503,3880638500,101,0,,1
3880055702,2,3880638400,3880150504,101,0,,1
3880055902,1,3880149103,3880635700,101,0,,1
3880055905,1,3880806400,3880154906,101,0,,1
3880055905,2,3880154908,3880806500,101,0,,1
3880056002,1,3880798000,3880145004,101,0,,1
3880056002,2,3880145003,3880798100,101,0,,1
3880001600,1,3880002900,3880003900,101,0,,1
3880002100,1,3880781400,3880004402,101,0,,1
3880014700,1,3880156404,3880032401,103,0,,1
3880014701,1,3880156504,3880560900,101,0,,1
3880014701,2,3880560800,3880156502,101,0,,1
3880014702,1,3880156503,3880561100,101,0,,1
3880014702,2,3880561000,3880156504,101,0,,1
3880157001,1,3880008904,3880736900,101,0,,1
3880157001,2,3880736800,3880008902,101,0,,1
3880157801,1,3880831200,3880402903,101,0,,1
3880157801,2,3880402901,3880831300,101,0,,1
3880158000,1,3880122103,3880402901,101,0,,1
3880158000,2,3880403002,3880122104,101,0,,1
3880158401,1,3880405401,3880764100,101,0,,1
3880158401,2,3880764000,3880405402,101,0,,1
3880158801,1,3880406301,3880764000,101,0,,1
3880158801,2,3880764100,3880406302,101,0,,1
3880159200,1,3880122003,3880761600,101,0,,1
3880159200,2,3880406902,3880761600,102,0,,1
3880159200,3,3880761700,3880122004,101,0,,1
3880159200,4,3880761700,3880406701,102,0,,1
3880159300,1,3880407100,3880407600,101,0,,1
3880159300,2,3880407400,3880407300,101,0,,1
3880202700,1,3880558900,3880559100,101,0,,1
3880202900,1,3880794100,3880561700,101,0,,1
3880202900,2,3880561600,3880554800,101,0,,1
3880212400,1,3880584900,3880798200,101,0,,1
3880213500,1,3880600400,3880611500,101,0,,1
3880221100,1,3880607200,3880606700,101,0,,1
3880221200,1,3880606700,3880607100,101,0,,1
3880224100,1,3880801900,3880802000,101,0,,1
3880232600,1,3880805900,3880635300,101,0,,1
3880240700,1,3880810900,3880658100,101,0,,1
3880240700,2,3880658000,3880657700,101,0,,1
3880241300,1,3880658700,3880658800,101,0,,1
3880241300,2,3880659000,3880658600,101,0,,1
3880246500,1,3880673000,3880672800,101,0,,1
3880253600,1,3880690500,3880690700,101,0,,1
3880262700,1,3880711900,3880713300,101,0,,1
3880262700,2,3880713200,3880712100,101,0,,1
3880264100,1,3880715200,3880715000,101,0,,1
3880264100,2,3880715400,3880715300,101,0,,1
3880270100,1,3880825500,3880732300,101,0,,1
3880270100,2,3880732200,3880731800,101,0,,1
3880270400,1,3880825700,3880732900,101,0,,1
3880270400,2,3880732500,3880825600,101,0,,1
3880276400,1,3880746900,3880747300,101,0,,1
3880281000,1,3880830700,3880760100,101,0,,1
3880281000,2,3880760000,3880760300,101,0,,1
3880281200,1,3880760800,3880831000,101,0,,1
3880281200,2,3880761000,3880760900,101,0,,1
3880281400,1,3880831300,3880761200,101,0,,1
3880281500,1,3880759600,3880761900,101,0,,1
3880281500,2,3880761800,3880762700,102,0,,1
3880281500,3,3880762600,3880761900,102,0,,1
3880281500,4,3880762600,3880759700,101,0,,1
3880282600,1,3880831700,3880831800,101,0,,1
3880282600,2,3880831900,3880764200,101,0,,1
3880283700,1,3880763700,3880766100,101,0,,1
3880283700,2,3880766000,3880764900,101,0,,1
3880283900,1,3880833800,3880766000,101,0,,1
3880283900,2,3880766200,3880833900,101,0,,1
3880289000,1,3880779000,3880777600,101,0,,1
3880289000,2,3880777500,3880779100,101,0,,1
3880289100,1,3880777900,3880778900,101,0,,1
3880289100,2,3880778800,3880778100,101,0,,1
3880289200,1,3880779400,3880778300,101,0,,1
3880289200,2,3880778100,3880779500,101,0,,1
3880289300,1,3880780000,3880778500,101,0,,1
3880289300,2,3880778300,3880780100,101,0,,1
3880289400,1,3880779800,3880778600,101,0,,1
3880289400,2,3880778500,3880779900,101,0,,1
3880291500,1,3880783600,3880784400,101,0,,1
3880291500,2,3880784500,3880783400,101,0,,1
3880291600,1,3880783800,3880784600,101,0,,1
3880291600,2,3880784700,3880783600,101,0,,1
3880291700,1,3880784000,3880838400,101,0,,1
3880291700,2,3880838500,3880783800,101,0,,1
1400005900,1,1400057600,1400057500,101,0,,1
1400019600,1,1400057500,1400057600,101,0,,1
3880002102,1,3880837000,3880145804,101,0,,1
3880002102,2,3880145803,3880837100,101,0,,1
3880005300,1,3880011702,3880115600,103,0,,1
3880006000,1,3880014203,3880135700,101,0,,1
3880007400,1,3880408000,3880112201,101,0,,1
3880007800,1,3880016105,3880111801,103,0,,1
3880009300,3,3880135102,3880020201,103,0,,1
3880009301,1,3880675600,3880021002,103,0,,1
3880009304,1,3880815400,3880135202,101,0,,1
3880009304,2,3880135201,3880815500,101,0,,1
3880009710,1,3880799800,3880022717,101,0,,1
3880009710,2,3880022716,3880799900,101,0,,1
3880009800,2,3880124602,3880020901,103,0,,1
3880009904,1,3880813200,3880133606,101,0,,1
3880009904,2,3880133605,3880813300,101,0,,1
3880010000,1,3880145702,3880022300,103,0,,1
3880010205,1,3880134604,3880665300,101,0,,1
3880010205,2,3880665200,3880134602,101,0,,1
3880010206,1,3880134606,3880664700,101,0,,1
3880010206,2,3880664600,3880134604,101,0,,1
3880010207,1,3880811600,3880134606,101,0,,1
3880010207,2,3880134605,3880811700,101,0,,1
3880010900,1,3880583000,3880023203,101,0,,1
3880011105,1,3880024510,3880625700,101,0,,1
3880011105,2,3880625600,3880024508,101,0,,1
3880011106,1,3880024509,3880625300,101,0,,1
3880011106,2,3880625200,3880024510,101,0,,1
3880012701,1,3880028401,3880574300,101,0,,1
3880012701,2,3880574200,3880028403,101,0,,1
3880012704,1,3880796400,3880105704,101,0,,1
3880012704,2,3880105706,3880796500,101,0,,1
3880013900,1,3880030800,3880031500,101,0,,1
3880014100,1,3880031200,3880031700,103,0,,1
3880014300,1,3880032000,3880031400,101,0,,1
3880014300,2,3880031300,3880030800,101,0,,1
3880014401,1,3880563600,3880032202,101,0,,1
3880014500,1,3880031900,3880032000,101,0,,1
3880014500,2,3880031500,3880032000,101,0,,1
3880014601,1,3880032301,3880559700,101,0,,1
3880014601,2,3880559600,3880032302,101,0,,1
3880014602,1,3880141101,3880561300,101,0,,1
3880014602,2,3880561200,3880141103,101,0,,1
3880041902,1,3880402304,3880764500,101,0,,1
3880041902,2,3880764400,3880402302,101,0,,1
3880042001,1,3880143701,3880768300,101,0,,1
3880042001,2,3880768200,3880143702,101,0,,1
3880042002,1,3880144301,3880834700,101,0,,1
3880042002,2,3880834600,3880144302,101,0,,1
3880042102,1,3880144201,3880766900,101,0,,1
3880042102,2,3880766800,3880144202,101,0,,1
3880042201,1,3880396101,3880766700,101,0,,1
3880042201,2,3880766600,3880396102,101,0,,1
3880042202,1,3880834400,3880143602,101,0,,1
3880042202,2,3880143601,3880834500,101,0,,1
3880042600,1,3880128400,3880128201,103,0,,1
3880043701,1,3880783200,3880127502,101,0,,1
3880043701,2,3880127501,3880783300,101,0,,1
3880044001,1,3880761600,3880122202,101,0,,1
3880044001,2,3880122201,3880761700,101,0,,1
3880044201,1,3880119701,3880777900,101,0,,1
3880044201,2,3880777800,3880119702,101,0,,1
3880044400,1,3880120700,3880126900,101,0,,1
3880045901,1,3880827800,3880121403,101,0,,1
3880045901,2,3880121401,3880827900,101,0,,1
3880046202,1,3880828000,3880121204,101,0,,1
3880046202,2,3880121203,3880828100,101,0,,1
3880046503,1,3880153501,3880748500,101,0,,1
3880046801,1,3880151101,3880731700,101,0,,1
3880046801,2,3880731600,3880151102,101,0,,1
3880047802,1,3880148001,3880736300,101,0,,1
3880047802,2,3880736200,3880148002,101,0,,1
3880048202,1,3880147203,3880732500,101,0,,1
3880048202,2,3880732400,3880147204,101,0,,1
3880048701,1,3880137401,3880733300,101,0,,1
3880048701,2,3880733200,3880137402,101,0,,1
3880049601,1,3880136401,3880718500,101,0,,1
3880049601,2,3880718400,3880136402,101,0,,1
3880050200,1,3880114904,3880115200,101,0,,1
3880050400,1,3880140000,3880140300,101,0,,1
3880050502,1,3880110104,3880714500,101,0,,1
3880050502,2,3880714400,3880110102,101,0,,1
3880050503,1,3880822400,3880110204,101,0,,1
