LINK_ID,F_NODE,T_NODE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,ROAD_USE,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,LENGTH,REMARK,L1,L2,L3,L4,L5,L6,L7,L8,L9,CHK,구역,U_Turn,회전금지
3880833800,3880284000,3880283900,1,107.0,0.0,-,버들1길,0.0,0.0,0.0,40,0.0,0,0,105.8527,,3880766300, ,,,,,,,,1,2구역,,
3880833900,3880283900,3880284000,1,107.0,0.0,-,버들1길,0.0,0.0,0.0,40,0.0,0,0,100.8143,,3880834000,3880766500.0,,,,,,,,1,2구역,,
3880834000,3880284000,3880283800,1,107.0,0.0,-,버들1길,0.0,0.0,0.0,40,0.0,0,0,38.0276,,3880764800,3880833600.0,,,,,,,,1,2구역,,
3880834100,3880283800,3880284000,1,107.0,0.0,-,버들1길,0.0,0.0,0.0,40,0.0,0,0,38.0276,,3880766500,3880833800.0,,,,,,,,1,2구역,,
3880834200,3880285000,3880284700,1,107.0,0.0,-,버들길,0.0,0.0,0.0,40,0.0,0,0,102.6474,,3880767400,3880768700.0,3880767700.0,,,,,,,1,2구역,,
3880834300,3880284700,3880285000,1,107.0,0.0,-,버들길,0.0,0.0,0.0,40,0.0,0,0,102.6473,,3880769700,3880834400.0,3880769500.0,,,,,,,1,2구역,,
3880834400,3880285000,3880042202,1,107.0,0.0,-,버들2길,0.0,0.0,0.0,40,0.0,0,0,32.7762,,3880143502, ,,,,,,,,1,2구역,,
3880835800,3880287400,3880003700,2,107.0,0.0,-,양산대로,0.0,0.0,0.0,60,0.0,0,0,55.4214,,3880007402,3880119201.0,3880008700.0,,,,,,,1,2구역,,
3880835900,3880003700,3880287400,2,107.0,0.0,-,양산대로,0.0,0.0,0.0,60,0.0,0,0,55.5258,,3880773900,3880774300.0,,,,,,,,1,2구역,,
3880836000,3880287700,3880046300,2,107.0,0.0,-,양산대로,0.0,0.0,0.0,60,0.0,0,0,31.4537,,3880007401,3880007302.0,,,,,,,,1,2구역,,
3880836100,3880046300,3880287700,2,107.0,0.0,-,양산대로,0.0,0.0,0.0,60,0.0,0,0,31.4537,,3880774200,3880775900.0,3880774500.0,,,,,,,1,2구역,,
3880836200,3880288100,3880287900,1,107.0,0.0,-,남양산1길,0.0,0.0,0.0,60,0.0,0,0,172.2817,,3880774900,3880774600.0,,,,,,,,1,2구역,,
3880836800,3880289800,3880002101,1,107.0,0.0,-,석금산로,0.0,0.0,0.0,30,0.0,0,0,432.7364,,3880125402,3880145803.0,,,,,,,,1,2구역,,
3880836900,3880002101,3880289800,1,107.0,0.0,-,석금산로,0.0,0.0,0.0,30,0.0,0,0,411.8273,,3880781100,3880781900.0,,,,,,,,1,2구역,,
3880837000,3880289900,3880002102,1,107.0,0.0,-,곡리3길,0.0,0.0,0.0,30,0.0,0,0,239.092,,3880125404, ,,,,,,,,1,2구역,,
